odor_freq,odor_poison_rate,has_stalk_root,cap_shape_surface_te,odor_capcolor_te,label_num
256,1.0,1,0.5406644,1.0,1
400,0.0,1,0.56395346,0.0,0
400,0.0,1,0.068627454,0.0,0
256,1.0,1,0.48287973,1.0,1
3528,0.034013607,1,0.56395346,0.0,0
400,0.0,1,0.48287973,0.0,0
400,0.0,1,0.09139785,0.0,0
400,0.0,1,0.14516129,0.0,0
256,1.0,1,0.486786,1.0,1
400,0.0,1,0.068627454,0.0,0
400,0.0,1,0.48287973,0.0,0
400,0.0,1,0.48287973,0.0,0
400,0.0,1,0.09139785,0.0,0
256,1.0,1,0.4787234,1.0,1
3528,0.034013607,1,0.36239496,0.014783527,0
3528,0.034013607,1,0.0,0.0,0
3528,0.034013607,1,0.32173914,0.07648725,0
256,1.0,1,0.56395346,1.0,1
256,1.0,1,0.486786,1.0,1
256,1.0,1,0.53710246,1.0,1
400,0.0,1,0.09139785,0.0,0
256,1.0,1,0.489832,1.0,1
400,0.0,1,0.18644068,0.0,0
400,0.0,1,0.18644068,0.0,0
400,0.0,1,0.080213904,0.0,0
256,1.0,1,0.62025315,1.0,1
400,0.0,1,0.4787234,0.0,0
400,0.0,1,0.4787234,0.0,0
3528,0.034013607,1,0.31823745,0.013641133,0
400,0.0,1,0.5595238,0.0,0
400,0.0,1,0.068627454,0.0,0
256,1.0,1,0.4950761,1.0,1
400,0.0,1,0.4950761,0.0,0
400,0.0,1,0.4950761,0.0,0
400,0.0,1,0.1570248,0.0,0
400,0.0,1,0.36847827,0.0,0
3528,0.034013607,1,0.0,0.0,0
256,1.0,1,0.48287973,1.0,1
400,0.0,1,0.36239496,0.0,0
400,0.0,1,0.09139785,0.0,0
400,0.0,1,0.17692308,0.0,0
400,0.0,1,0.4787234,0.0,0
3528,0.034013607,1,0.36239496,0.014783527,0
256,1.0,1,0.4787234,1.0,1
400,0.0,1,0.5595238,0.0,0
400,0.0,1,0.48287973,0.0,0
400,0.0,1,0.48287973,0.0,0
400,0.0,1,0.5549199,0.0,0
400,0.0,1,0.4950761,0.0,0
400,0.0,1,0.53701967,0.0,0
400,0.0,1,0.4950761,0.0,0
400,0.0,1,0.5595238,0.0,0
400,0.0,1,0.068627454,0.0,0
256,1.0,1,0.48287973,1.0,1
